Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,2.8e-10,2.8e-10,2.8e-10,2.8e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.98,-3.98,-3.9,-4.1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.972e-08,-0.0069375,-0.00760937,-0.00870312,0.00096875
-9.952e-08,-0.00704688,-0.00746875,-0.0088125,0.000921875
-9.932e-08,-0.00684375,-0.00773438,-0.00879687,0.00120312
-9.912e-08,-0.007,-0.00728125,-0.00871875,0.000953125
-9.892e-08,-0.00715625,-0.00798437,-0.00870312,0.00101562
-9.872e-08,-0.00678125,-0.007625,-0.0091875,0.00123437
-9.852e-08,-0.0065625,-0.00778125,-0.00885938,0.0010625
-9.832e-08,-0.00685938,-0.00779687,-0.00920312,0.00107812
-9.812e-08,-0.0075625,-0.00801562,-0.0085,0.000875
-9.792e-08,-0.00701562,-0.0075,-0.00896875,0.00109375
-9.772e-08,-0.00690625,-0.00760937,-0.00879687,0.001
-9.752e-08,-0.00690625,-0.00748437,-0.0089375,0.00096875
-9.732e-08,-0.007,-0.00745313,-0.00829687,0.0015
-9.712e-08,-0.00696875,-0.00765625,-0.0088125,0.00101562
-9.692e-08,-0.00707812,-0.0075625,-0.00915625,0.000765625
-9.672e-08,-0.00698437,-0.00765625,-0.00885938,0.00123437
-9.652e-08,-0.00732812,-0.00771875,-0.00895313,0.0011875
-9.632e-08,-0.00721875,-0.00753125,-0.00898437,0.00109375
-9.612e-08,-0.00732812,-0.007875,-0.0085,0.00101562
-9.592e-08,-0.0069375,-0.00710937,-0.00875,0.00123437
-9.572e-08,-0.0065,-0.00734375,-0.00884375,0.00135937
-9.552e-08,-0.00742187,-0.0079375,-0.00854688,0.00040625
-9.532e-08,-0.00717187,-0.00745313,-0.00882813,0.000890625
-9.512e-08,-0.006875,-0.00770312,-0.0088125,0.00125
-9.492e-08,-0.00735938,-0.00789062,-0.00889062,0.000609375
-9.472e-08,-0.00739062,-0.00771875,-0.009,0.000734375
-9.452e-08,-0.00690625,-0.0075625,-0.00865625,0.00153125
-9.432e-08,-0.00735938,-0.00771875,-0.00901562,0.000734375
-9.412e-08,-0.007375,-0.00751562,-0.00875,0.00103125
-9.392e-08,-0.0070625,-0.0076875,-0.008625,0.00101562
-9.372e-08,-0.00714063,-0.00784375,-0.00846875,0.00128125
-9.352e-08,-0.00701562,-0.00759375,-0.00839062,0.0010625
-9.332e-08,-0.0073125,-0.007875,-0.00879687,0.0010625
-9.312e-08,-0.00696875,-0.0075,-0.00876562,0.00126562
-9.292e-08,-0.00701562,-0.00764063,-0.00879687,0.00104687
-9.272e-08,-0.0069375,-0.00757812,-0.00845313,0.0011875
-9.252e-08,-0.00715625,-0.00789062,-0.00884375,0.001
