Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,1.6e-10,1.6e-10,1.6e-10,1.6e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,0.05
Vertical Position,-4.62,-4.52,-4.58,-4.66
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.984e-08,-0.00503906,-0.00949219,-0.00585938,-0.00341406
-9.964e-08,-0.00529688,-0.00975,-0.0056875,-0.00341406
-9.944e-08,-0.00497656,-0.00959375,-0.00577344,-0.00350781
-9.924e-08,-0.00504688,-0.00960156,-0.00566406,-0.00341406
-9.904e-08,-0.00509375,-0.009625,-0.00566406,-0.00345313
-9.884e-08,-0.00516406,-0.00984375,-0.00555469,-0.00335937
-9.864e-08,-0.00503906,-0.00977344,-0.00572656,-0.00320313
-9.844e-08,-0.00508594,-0.00985156,-0.00560156,-0.00332031
-9.824e-08,-0.00492187,-0.00959375,-0.0059375,-0.00346094
-9.804e-08,-0.00514844,-0.00970312,-0.00561719,-0.00345313
-9.784e-08,-0.00513281,-0.00986719,-0.00578125,-0.00351562
-9.764e-08,-0.00519531,-0.009875,-0.00564062,-0.00338281
-9.744e-08,-0.00459375,-0.00923437,-0.00583594,-0.00309375
-9.724e-08,-0.00503906,-0.00964844,-0.005625,-0.00344531
-9.704e-08,-0.00507031,-0.00976562,-0.00576562,-0.00335937
-9.684e-08,-0.00517187,-0.00975781,-0.00578906,-0.00339062
-9.664e-08,-0.00504688,-0.00961719,-0.0059375,-0.00320313
-9.644e-08,-0.00519531,-0.00974219,-0.00565625,-0.00341406
-9.624e-08,-0.00508594,-0.0095,-0.00585156,-0.00350781
-9.604e-08,-0.00514844,-0.00964844,-0.00563281,-0.00335937
-9.584e-08,-0.00501562,-0.00966406,-0.00560937,-0.00320313
-9.564e-08,-0.00501562,-0.00957812,-0.00584375,-0.00347656
-9.544e-08,-0.00482812,-0.00946875,-0.00592187,-0.00348437
-9.524e-08,-0.00503906,-0.00977344,-0.00567187,-0.00339062
-9.504e-08,-0.00505469,-0.00973437,-0.00586719,-0.0035
-9.484e-08,-0.00521875,-0.00970312,-0.00585156,-0.00345313
-9.464e-08,-0.00478125,-0.00944531,-0.00569531,-0.00321094
-9.444e-08,-0.00522656,-0.00978125,-0.00580469,-0.00350781
-9.424e-08,-0.00509375,-0.00976562,-0.00588281,-0.00336719
-9.404e-08,-0.00539062,-0.00983594,-0.00573437,-0.00348437
-9.384e-08,-0.005,-0.00951562,-0.00583594,-0.00328906
-9.364e-08,-0.00510156,-0.00963281,-0.00582812,-0.00342187
-9.344e-08,-0.00496875,-0.00957031,-0.00582031,-0.00332031
-9.324e-08,-0.00526562,-0.0096875,-0.00564844,-0.00341406
-9.304e-08,-0.00520313,-0.00955469,-0.00589062,-0.00344531
-9.284e-08,-0.00517187,-0.00942187,-0.00563281,-0.00357812
