Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,1e-06,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.001,0.05,0.05,0.05
Vertical Position,-4.34,-4.66,-4.64,-4.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.000e-06,-0.00038,-0.003,0.002,-0.009
-4.990e-06,-0.0003,-0.001,-0.004,-0.005
-4.980e-06,-0.00034,-0.003,-0.004,-0.009
-4.970e-06,-0.00034,0.001,-0.002,-0.009
-4.960e-06,-0.00026,-0.003,-0.004,-0.007
-4.950e-06,-0.00018,-0.001,0,-0.009
-4.940e-06,-0.00022,-0.005,-0.004,-0.011
-4.930e-06,-0.0003,-0.003,-0.002,-0.007
-4.920e-06,-6e-05,-0.003,-0.004,-0.009
-4.910e-06,-0.00022,-0.003,-0.002,-0.009
-4.900e-06,-0.00018,-0.001,-0.002,-0.007
-4.890e-06,-0.00026,-0.003,0,-0.009
-4.880e-06,-0.0003,0.001,-0.004,-0.007
-4.870e-06,-0.00026,-0.003,-0.004,-0.009
-4.860e-06,-0.00018,-0.003,-0.006,-0.007
-4.850e-06,-0.0003,-0.001,-0.004,-0.007
-4.840e-06,-0.0001,-0.003,-0.004,-0.007
-4.830e-06,-0.00042,-0.003,0,-0.007
-4.820e-06,-0.00038,-0.003,-0.002,-0.005
-4.810e-06,-0.00034,-0.003,-0.002,-0.009
-4.800e-06,-2e-05,-0.003,-0.004,-0.007
-4.790e-06,-0.00018,-0.003,-0.006,-0.007
-4.780e-06,-0.00022,-0.001,-0.004,-0.007
-4.770e-06,-0.00022,-0.003,-0.004,-0.011
-4.760e-06,-0.00042,-0.001,-0.004,-0.011
-4.750e-06,-0.00018,0.001,-0.004,-0.007
-4.740e-06,-0.00054,-0.003,-0.002,-0.007
-4.730e-06,-0.00022,-0.001,-0.004,-0.007
-4.720e-06,-0.00026,-0.001,-0.004,-0.007
-4.710e-06,-0.00026,-0.003,-0.002,-0.007
-4.700e-06,-0.00022,-0.001,-0.004,-0.005
-4.690e-06,-0.00034,-0.003,-0.004,-0.007
-4.680e-06,-0.00038,-0.001,-0.004,-0.007
-4.670e-06,-0.00046,-0.003,-0.004,-0.009
-4.660e-06,-0.00018,0.001,-0.006,-0.009
-4.650e-06,-0.00034,-0.003,-0.004,-0.007
-4.640e-06,-0.00026,-0.001,-0.006,-0.005
-4.630e-06,-0.00038,-0.005,-0.002,-0.005
-4.620e-06,-0.00038,-0.001,-0.004,-0.009
-4.610e-06,-0.00046,0.001,-0.002,-0.003
-4.600e-06,-0.00034,-0.001,-0.004,-0.005
-4.590e-06,-0.00054,-0.003,-0.004,-0.005
-4.580e-06,-0.0003,0.001,-0.002,-0.007
-4.570e-06,-0.00026,-0.003,0.002,-0.011
-4.560e-06,-0.00042,0.001,-0.004,-0.009
-4.550e-06,-0.00018,-0.003,-0.002,-0.007
