Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.33658583,-4.02928100,-0.01537894,3.90625000,0.00784326
-15.25658582,-4.06003900,-0.16916830,3.89087100,0.00784326
-15.17658582,-3.87549200,-0.49212600,3.84473400,0.00787402
-15.09658582,-3.53715500,-0.92273620,3.78321800,0.00787402
-15.01658582,-3.06040800,-1.43024100,3.72170300,0.00790477
-14.93658582,-2.52214600,-1.98388300,3.64480800,0.00790477
-14.85658582,-1.93774600,-2.50676700,3.59867100,0.00790477
-14.77658582,-1.36872500,-2.99889300,3.59867100,0.00787402
-14.69658582,-0.81508360,-3.42950300,3.66018700,0.00784326
-14.61658582,-0.26144190,-3.78321800,3.81397600,0.00784326
-14.53658581,0.26144190,-4.04466000,4.06003900,0.00784326
-14.45658581,0.81508360,-4.24458600,4.41375400,0.00784326
-14.37658581,1.36872500,-4.36761800,4.85974400,0.00787402
-14.29658581,1.93774600,-4.45989200,5.38262700,0.00790477
-14.21658581,2.52214600,-4.49065000,5.92089000,0.00790477
-14.13658581,3.06040800,-4.49065000,6.47453200,0.00790477
-14.05658581,3.53715500,-4.44451300,6.96665800,0.00790477
-13.97658581,3.87549200,-4.36761800,7.36651000,0.00787402
-13.89658581,4.06003900,-4.22920700,7.65871000,0.00784326
-13.81658580,4.02928100,-4.04466000,7.81250000,0.00784326
-13.73658580,3.75246000,-3.78321800,7.82787800,0.00784326
-13.65658580,3.24495600,-3.47564000,7.72022600,0.00784326
-13.57658580,2.50676700,-3.10654500,7.47416300,0.00787402
-13.49658580,1.58403000,-2.67593500,7.13582600,0.00790477
-13.41658580,0.53826270,-2.21456700,6.70521600,0.00790477
-13.33658580,-0.53826270,-1.73782000,6.22846900,0.00790477
-13.25658580,-1.59940900,-1.26107300,5.72096400,0.00790477
-13.17658580,-2.52214600,-0.83046260,5.19808000,0.00787402
-13.09658580,-3.26033400,-0.44598910,4.69057600,0.00784326
-13.01658579,-3.76783900,-0.12303150,4.16769200,0.00784326
-12.93658579,-3.99852300,0.10765260,3.67556500,0.00784326
-12.85658579,-3.96776600,0.26144190,3.16806100,0.00784326
-12.77658579,-3.69094500,0.33833660,2.67593500,0.00787402
-12.69658579,-3.19881900,0.33833660,2.16843000,0.00790477
-12.61658579,-2.58366100,0.30757870,1.67630400,0.00790477
-12.53658579,-1.90698800,0.23068400,1.19955700,0.00790477
-12.45658579,-1.24569400,0.15378940,0.76894680,0.00790477
-12.37658579,-0.67667320,0.09227362,0.39985230,0.00787402
-12.29658578,-0.26144190,0.03075787,0.13841040,0.00784326
-12.21658578,-0.03075787,0.00000000,0.01537894,0.00784326
-12.13658578,-0.01537894,0.00000000,0.03075787,0.00784326
-12.05658578,-0.21530510,0.03075787,0.19992620,0.00784326
-11.97658578,-0.58439960,0.09227362,0.50750490,0.00787402
-11.89658578,-1.07652500,0.15378940,0.92273620,0.00790477
-11.81658578,-1.67630400,0.23068400,1.43024100,0.00790477
-11.73658578,-2.27608300,0.30757870,1.98388300,0.00790477
-11.65658578,-2.86048200,0.35371550,2.50676700,0.00787402
-11.57658577,-3.35260800,0.33833660,3.01427100,0.00787402
-11.49658577,-3.70632400,0.27682080,3.44488200,0.00784326
-11.41658577,-3.89087100,0.10765260,3.78321800,0.00784326
-11.33658577,-3.90625000,-0.13841040,4.02928100,0.00787402
-11.25658577,-3.75246000,-0.49212600,4.19845000,0.00793553
-11.17658577,-3.44488200,-0.92273620,4.27534400,0.00805856
-11.09658577,-3.02965000,-1.43024100,4.29072300,0.00821235
-11.01658577,-2.52214600,-1.96850400,4.25996500,0.00836614
-10.93658577,-1.96850400,-2.52214600,4.18307100,0.00851993
-10.85658577,-1.43024100,-3.01427100,4.10617600,0.00858145
-10.77658576,-0.92273620,-3.44488200,4.02928100,0.00855069
-10.69658576,-0.49212600,-3.73708200,3.96776600,0.00839690
-10.61658576,-0.13841040,-3.90625000,3.93700800,0.00805856
-10.53658576,0.10765260,-3.90625000,3.92162900,0.00756644
-10.45658576,0.27682080,-3.73708200,3.92162900,0.00688976
-10.37658576,0.33833660,-3.44488200,3.93700800,0.00602854
-10.29658576,0.35371550,-3.01427100,3.93700800,0.00501353
-10.21658576,0.30757870,-2.52214600,3.95238700,0.00396777
-10.13658576,0.23068400,-1.96850400,3.95238700,0.00286048
-10.05658575,0.16916830,-1.43024100,3.95238700,0.00184547
-9.97658575,0.09227362,-0.93811510,3.93700800,0.00098425
-9.89658575,0.04613681,-0.49212600,3.92162900,0.00036909
-9.81658575,0.01537894,-0.13841040,3.92162900,0.00003076
-9.73658575,0.00000000,0.12303150,3.92162900,0.00003076
-9.65658575,-0.01537894,0.30757870,3.92162900,0.00036909
-9.57658575,0.00000000,0.43061020,3.93700800,0.00098425
-9.49658575,0.00000000,0.50750490,3.95238700,0.00184547
-9.41658575,0.00000000,0.53826270,3.95238700,0.00286048
-9.33658574,0.00000000,0.53826270,3.95238700,0.00396777
-9.25658574,0.00000000,0.50750490,3.95238700,0.00501353
-9.17658574,0.00000000,0.43061020,3.93700800,0.00599779
-9.09658574,0.01537894,0.30757870,3.92162900,0.00685901
-9.01658574,0.00000000,0.12303150,3.92162900,0.00756644
-8.93658574,-0.01537894,-0.13841040,3.92162900,0.00808932
-8.85658574,-0.04613681,-0.49212600,3.92162900,0.00848917
-8.77658574,-0.09227362,-0.93811510,3.93700800,0.00873524
-8.69658574,-0.16916830,-1.43024100,3.95238700,0.00891978
-8.61658574,-0.23068400,-1.96850400,3.95238700,0.00898130
-8.53658573,-0.30757870,-2.52214600,3.95238700,0.00898130
-8.45658573,-0.35371550,-3.01427100,3.95238700,0.00888903
-8.37658573,-0.33833660,-3.44488200,3.93700800,0.00873524
-8.29658573,-0.27682080,-3.73708200,3.92162900,0.00845842
-8.21658573,-0.10765260,-3.90625000,3.92162900,0.00808932
-8.13658573,0.13841040,-3.90625000,3.92162900,0.00756644
-8.05658573,0.49212600,-3.73708200,3.92162900,0.00695128
-7.97658573,0.92273620,-3.44488200,3.93700800,0.00621309
-7.89658573,1.43024100,-3.01427100,3.95238700,0.00535187
-7.81658572,1.96850400,-2.52214600,3.95238700,0.00442913
-7.73658572,2.52214600,-1.96850400,3.95238700,0.00347564
-7.65658572,3.01427100,-1.43024100,3.95238700,0.00252215
-7.57658572,3.44488200,-0.92273620,3.93700800,0.00166093
-7.49658572,3.73708200,-0.49212600,3.92162900,0.00089198
-7.41658572,3.90625000,-0.13841040,3.92162900,0.00024606
-7.33658572,3.90625000,0.10765260,3.92162900,-0.00021531
-7.25658572,3.73708200,0.27682080,3.92162900,-0.00052288
-7.17658572,3.44488200,0.33833660,3.93700800,-0.00067667
-7.09658572,3.01427100,0.35371550,3.95238700,-0.00067667
-7.01658571,2.52214600,0.30757870,3.95238700,-0.00061516
-6.93658571,1.96850400,0.23068400,3.95238700,-0.00046137
-6.85658571,1.43024100,0.15378940,3.95238700,-0.00033834
-6.77658571,0.92273620,0.09227362,3.93700800,-0.00018455
-6.69658571,0.49212600,0.03075787,3.92162900,-0.00009227
-6.61658571,0.13841040,0.00000000,3.92162900,-0.00003076
-6.53658571,-0.10765260,0.00000000,3.92162900,0.00000000
-6.45658571,-0.27682080,0.03075787,3.92162900,0.00003076
-6.37658571,-0.33833660,0.09227362,3.93700800,0.00000000
-6.29658570,-0.35371550,0.15378940,3.95238700,0.00000000
-6.21658570,-0.30757870,0.23068400,3.95238700,0.00000000
-6.13658570,-0.23068400,0.30757870,3.95238700,0.00000000
-6.05658570,-0.16916830,0.33833660,3.95238700,0.00000000
-5.97658570,-0.09227362,0.33833660,3.93700800,0.00000000
-5.89658570,-0.04613681,0.26144190,3.93700800,0.00000000
-5.81658570,-0.01537894,0.10765260,3.92162900,0.00000000
-5.73658570,0.00000000,-0.12303150,3.90625000,0.00000000
-5.65658570,0.01537894,-0.44598910,3.89087100,0.00000000
-5.57658569,0.00000000,-0.83046260,3.84473400,0.00000000
-5.49658569,0.00000000,-1.26107300,3.78321800,0.00000000
-5.41658569,0.00000000,-1.73782000,3.72170300,0.00000000
-5.33658569,0.00000000,-2.21456700,3.64480800,0.00000000
-5.25658569,0.00000000,-2.67593500,3.59867100,0.00000000
-5.17658569,0.00000000,-3.10654500,3.59867100,0.00000000
-5.09658569,0.00000000,-3.49101900,3.66018700,0.00000000
-5.01658569,0.00000000,-3.79859700,3.81397600,0.00000000
-4.93658569,0.00000000,-4.02928100,4.06003900,0.00000000
-4.85658569,0.00000000,-4.18307100,4.41375400,0.00000000
-4.77658568,0.00000000,-4.27534400,4.85974400,0.00000000
-4.69658568,0.00000000,-4.29072300,5.38262700,0.00000000
-4.61658568,0.00000000,-4.25996500,5.92089000,0.00000000
-4.53658568,0.00000000,-4.18307100,6.47453200,0.00000000
-4.45658568,0.00000000,-4.10617600,6.96665800,0.00000000
-4.37658568,0.00000000,-4.04466000,7.38188900,0.00000000
