Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,8e-11,8e-11,8e-11,8e-11
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,1
Vertical Position,4.3,4.28,4.3,4.38
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.992e-08,0.06375,0.0909375,0.03125,-0.0196875
-9.972e-08,0.0635937,0.0870312,0.0339063,-0.0229687
-9.952e-08,0.0614063,0.0901562,0.0329688,-0.0232813
-9.932e-08,0.0628125,0.093125,0.0364063,-0.0225
-9.912e-08,0.0623438,0.08875,0.0329688,-0.0251563
-9.892e-08,0.0609375,0.0842187,0.0295313,-0.0235937
-9.872e-08,0.0620313,0.0892187,0.0314062,-0.0209375
-9.852e-08,0.0615625,0.0854687,0.0290625,-0.02125
-9.832e-08,0.0626562,0.0917188,0.0329688,-0.0217187
-9.812e-08,0.0623438,0.0882812,0.0314062,-0.0240625
-9.792e-08,0.0570313,0.0885938,0.0307813,-0.0248437
-9.772e-08,0.0590625,0.0865625,0.0304688,-0.0225
-9.752e-08,0.0679688,0.0946875,0.0360938,-0.014375
-9.732e-08,0.0653125,0.090625,0.0317188,-0.02
-9.712e-08,0.0620313,0.0882812,0.0298438,-0.024375
-9.692e-08,0.0625,0.0865625,0.0310938,-0.0221875
-9.672e-08,0.0632813,0.0885938,0.0321875,-0.0226562
-9.652e-08,0.0634375,0.088125,0.0365625,-0.0215625
-9.632e-08,0.0621875,0.0907813,0.0354688,-0.0228125
-9.612e-08,0.0642188,0.090625,0.033125,-0.023125
-9.592e-08,0.064375,0.0884375,0.0310938,-0.0198437
-9.572e-08,0.0653125,0.0939062,0.0342187,-0.0185937
-9.552e-08,0.06125,0.0901562,0.0307813,-0.02
-9.532e-08,0.0642188,0.0884375,0.0321875,-0.0203125
-9.512e-08,0.0617188,0.0896875,0.0334375,-0.0251563
-9.492e-08,0.0610938,0.089375,0.0320313,-0.0223438
-9.472e-08,0.065625,0.093125,0.0339063,-0.0159375
-9.452e-08,0.060625,0.0879687,0.0301563,-0.0273438
-9.432e-08,0.059375,0.0889062,0.0296875,-0.0242188
-9.412e-08,0.06,0.0885938,0.0321875,-0.0232813
-9.392e-08,0.063125,0.0901562,0.0357813,-0.0217187
-9.372e-08,0.0653125,0.0915625,0.03375,-0.0220312
-9.352e-08,0.06625,0.0901562,0.0314062,-0.0223438
-9.332e-08,0.0632813,0.090625,0.0340625,-0.0229687
-9.312e-08,0.0615625,0.0929687,0.0332812,-0.0210937
-9.292e-08,0.0620313,0.0921875,0.0345313,-0.0207812
-9.272e-08,0.0623438,0.088125,0.03,-0.0229687
-9.252e-08,0.061875,0.0865625,0.029375,-0.0221875
-9.232e-08,0.0615625,0.0889062,0.0348438,-0.0217187
-9.212e-08,0.0609375,0.086875,0.026875,-0.02125
-9.192e-08,0.0617188,0.0920312,0.0335938,-0.0215625
