Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-16.09491584,-3.93700800,-3.93700800,3.93700800,0.00787402
-15.29491583,0.00000000,0.00000000,7.87401500,0.00787402
-14.49491582,0.00000000,0.00000000,3.93700800,0.00787402
-13.69491581,-3.93700800,-3.93700800,3.93700800,0.00787402
-12.89491580,-3.93700800,-3.93700800,3.93700800,0.00787402
-12.09491579,-3.93700800,0.00000000,7.87401500,0.00787402
-11.29491578,0.00000000,0.00000000,7.87401500,0.00787402
-10.49491577,0.00000000,-3.93700800,3.93700800,0.00787402
-9.69491576,0.00000000,0.00000000,3.93700800,0.00787402
-8.89491575,0.00000000,0.00000000,3.93700800,0.00787402
-8.09491574,0.00000000,-3.93700800,7.87401500,0.00787402
-7.29491573,0.00000000,0.00000000,3.93700800,0.00787402
-6.49491572,0.00000000,-3.93700800,3.93700800,0.00787402
-5.69491571,0.00000000,0.00000000,3.93700800,0.00787402
-4.89491569,0.00000000,-3.93700800,3.93700800,0.00787402
-4.09491568,0.00000000,-3.93700800,3.93700800,0.00787402
-3.29491567,0.00000000,-7.87401500,0.00000000,0.01574803
-2.49491566,0.00000000,-7.87401500,7.87401500,0.00787402
-1.69491565,0.00000000,-3.93700800,7.87401500,0.00787402
-0.89491564,-3.93700800,-3.93700800,3.93700800,0.00000000
-0.09491563,3.93700800,0.00000000,11.81102000,0.00787402
0.70508438,0.00000000,-3.93700800,244.09450000,0.00000000
1.50508439,-15.74803000,0.00000000,240.15750000,0.00787402
2.30508440,-137.79530000,-3.93700800,43.30709000,0.00787402
3.10508441,-389.76380000,-23.62205000,-19.68504000,-0.03149606
3.90508442,-488.18900000,-181.10240000,-3.93700800,-0.32283460
4.70508443,-389.76380000,-409.44880000,3.93700800,-0.67716530
5.50508444,-236.22050000,-437.00780000,3.93700800,-0.55905510
6.30508445,-110.23620000,-275.59050000,3.93700800,-0.26771650
7.10508447,-19.68504000,-133.85830000,3.93700800,-0.11023620
7.90508448,-3.93700800,-62.99212000,7.87401500,-0.05511811
8.70508449,-19.68504000,-35.43307000,3.93700800,-0.03937008
9.50508450,-23.62205000,-11.81102000,3.93700800,-0.03937008
10.30508451,-31.49606000,23.62205000,3.93700800,-0.03149606
11.10508452,-19.68504000,19.68504000,3.93700800,-0.00787402
11.90508453,7.87401500,-3.93700800,3.93700800,0.00000000
12.70508454,23.62205000,-23.62205000,3.93700800,0.02362205
13.50508455,23.62205000,-27.55905000,3.93700800,0.02362205
14.30508456,3.93700800,-15.74803000,7.87401500,0.01574803
15.10508457,-15.74803000,-11.81102000,3.93700800,0.00000000
15.90508458,-19.68504000,-15.74803000,3.93700800,0.00000000
16.70508459,-11.81102000,-15.74803000,3.93700800,0.00000000
17.50508460,0.00000000,-3.93700800,3.93700800,0.01574803
18.30508461,11.81102000,0.00000000,3.93700800,0.01574803
19.10508463,3.93700800,0.00000000,3.93700800,0.00787402
19.90508464,0.00000000,0.00000000,3.93700800,0.00000000
20.70508465,-7.87401500,-3.93700800,3.93700800,0.00000000
21.50508466,-11.81102000,-3.93700800,7.87401500,0.00000000
22.30508467,-3.93700800,-3.93700800,3.93700800,0.00787402
23.10508468,7.87401500,0.00000000,0.00000000,0.00787402
23.90508469,3.93700800,-3.93700800,3.93700800,0.00000000
24.70508470,0.00000000,-3.93700800,3.93700800,0.00000000
25.50508471,-7.87401500,-7.87401500,0.00000000,0.00787402
26.30508472,-7.87401500,-7.87401500,3.93700800,0.00000000
27.10508473,-3.93700800,-7.87401500,3.93700800,0.00000000
27.90508474,0.00000000,-7.87401500,3.93700800,0.00787402
28.70508475,0.00000000,-3.93700800,3.93700800,0.00787402
29.50508476,0.00000000,-3.93700800,3.93700800,0.00787402
30.30508477,-3.93700800,-3.93700800,3.93700800,0.00000000
31.10508479,-3.93700800,-3.93700800,7.87401500,0.00787402
31.90508480,0.00000000,-7.87401500,3.93700800,0.00000000
32.70508481,0.00000000,-11.81102000,0.00000000,0.00000000
33.50508482,3.93700800,-3.93700800,3.93700800,0.00787402
34.30508483,-3.93700800,-7.87401500,3.93700800,0.00000000
35.10508484,-3.93700800,-7.87401500,0.00000000,0.00787402
35.90508485,0.00000000,-3.93700800,3.93700800,0.00787402
36.70508486,0.00000000,-3.93700800,3.93700800,0.00787402
37.50508487,3.93700800,3.93700800,3.93700800,0.00787402
38.30508488,0.00000000,0.00000000,7.87401500,0.00787402
39.10508489,-3.93700800,0.00000000,3.93700800,0.00787402
