Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,6.7e-08,6.7e-08,6.7e-08,6.7e-08
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.002,0.002,0.002
Vertical Position,-3.9,-3.94,-3.98,-4.04
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.300e-08,0.0002925,0.000492812,0.000157187,0.000655937
-3.280e-08,0.000282188,0.000489375,0.000142187,0.000654687
-3.260e-08,0.000292812,0.000498125,0.000128125,0.000655312
-3.240e-08,0.000298125,0.000498437,0.000120937,0.000663125
-3.220e-08,0.000295625,0.000491562,0.000119375,0.00064875
-3.200e-08,0.000295938,0.000503125,0.000123125,0.000643437
-3.180e-08,0.00030125,0.000513125,0.000135,0.000650937
-3.160e-08,0.000298125,0.00052375,0.000124687,0.00064375
-3.140e-08,0.000311875,0.000530937,0.000130937,0.000647812
-3.120e-08,0.000310312,0.000535312,0.000124687,0.000646562
-3.100e-08,0.00031625,0.000535625,0.000130937,0.000642813
-3.080e-08,0.000308437,0.000536875,0.000124375,0.00063875
-3.060e-08,0.000313437,0.000536875,0.000131562,0.000655
-3.040e-08,0.000299062,0.000542812,0.000117812,0.000657187
-3.020e-08,0.000299375,0.000538125,0.000114062,0.00065625
-3.000e-08,0.0002975,0.000541562,0.00010875,0.000670625
-2.980e-08,0.00029875,0.00053375,0.000102187,0.00066625
-2.960e-08,0.00029625,0.000534687,7.90625e-05,0.00067375
-2.940e-08,0.00029875,0.000521562,7.625e-05,0.000676563
-2.920e-08,0.000299062,0.00052375,6.21875e-05,0.000679375
-2.900e-08,0.00030375,0.00051125,6.3125e-05,0.0006875
-2.880e-08,0.000307812,0.000489062,5.09375e-05,0.000684062
-2.860e-08,0.000306562,0.00048,5.375e-05,0.000686562
-2.840e-08,0.00030375,0.00047875,5.5e-05,0.000681562
-2.820e-08,0.0003025,0.000465937,5.90625e-05,0.000687813
-2.800e-08,0.0003175,0.000470625,6e-05,0.000680625
-2.780e-08,0.000326562,0.00046625,9.03125e-05,0.000689375
-2.760e-08,0.000312187,0.000470312,8.71875e-05,0.000671562
-2.740e-08,0.000313125,0.000459687,0.00010625,0.000658438
-2.720e-08,0.00031125,0.000464687,0.0001125,0.00066125
-2.700e-08,0.000318438,0.000464375,0.000134375,0.000660625
-2.680e-08,0.00032375,0.000475,0.000152812,0.000665
-2.660e-08,0.000322187,0.000471562,0.000170312,0.000658125
-2.640e-08,0.000315,0.000481875,0.000173437,0.000651562
-2.620e-08,0.000305313,0.000479375,0.000181562,0.0006575
-2.600e-08,0.000309375,0.000491562,0.00017375,0.000664687
-2.580e-08,0.00031,0.000492812,0.00016875,0.000669062
-2.560e-08,0.000300937,0.000507812,0.00016875,0.000665
-2.540e-08,0.000299062,0.000510937,0.0001725,0.000667813
-2.520e-08,0.000286875,0.00051625,0.000159062,0.000659375
